1529119020,6424.82,6425.11,6424.82,6425.11,0.58223195
1529119080,6425.1,6427.87,6425.1,6427.87,2.723
1529119140,6428.94,6428.95,6428.95,6428.95,0.4306
1529119200,6428.94,6428.95,6428.94,6428.95,0.77983419
1529119260,6428.94,6428.95,6428.95,6428.94,0.71606012
1529119320,6425,6428.94,6428.94,6425.01,1.9699
1529119380,6425,6425.01,6425.01,6425.01,0.8793
1529119440,6419.15,6425.01,6425.01,6419.15,3.63823245
1529119500,6419.14,6419.15,6419.15,6419.15,1.26794326
1529119560,6419.15,6427.64,6419.15,6421.29,22.8493
1529119620,6421.28,6424.27,6421.28,6424.27,2.25617616
1529119680,6424.99,6425,6425,6424.99,0.3597
1529119740,6424.99,6425,6425,6424.99,0.1748
1529119800,6424.99,6425,6425,6425,1.23125882
1529119860,6425,6425,6425,6425,0.43554529
1529119920,6424.99,6425,6425,6425,0.90945176
1529119980,6425,6430,6425,6430,2.63
1529120040,6429.99,6430,6430,6430,1.38449204
1529120100,6427,6429.99,6429.99,6428.96,1.99250511
1529120160,6425.13,6430.19,6429,6425.13,1.38195753
1529120220,6427.55,6430.19,6427.55,6430.18,1.40772597
1529120280,6430.19,6430.19,6430.19,6430.19,0.1569
1529120340,6430.18,6430.19,6430.19,6430.19,0.37854823
1529120400,6428.12,6430.19,6430.19,6428.13,4.60834475
1529120460,6418.58,6428.12,6428.12,6418.58,4.37010661
1529120520,6413.06,6418,6418,6413.07,6.22248375
1529120580,6412.5,6413.06,6413.06,6412.5,1.27304928
1529120640,6412.5,6412.51,6412.5,6412.5,1.09551624
1529120700,6412.5,6412.51,6412.51,6412.51,0.77439149
1529120760,6412.5,6412.51,6412.51,6412.51,1.1391032
1529120820,6412.5,6412.51,6412.51,6412.5,1.62530342
1529120880,6412.5,6412.99,6412.51,6412.99,2.36970528
1529120940,6414.5,6415,6414.5,6415,2.55527402
1529121000,6414.99,6415,6415,6415,4.48516379
1529121060,6414.99,6415,6415,6415,0.9975
1529121120,6414.01,6415,6414.99,6414.01,3.6324544
1529121180,6412.66,6415,6414,6415,1.0038
1529121240,6414.99,6415,6415,6415,2.1568
1529121300,6414.99,6415,6415,6414.99,2.5828
1529121360,6412.65,6415.14,6415,6415.14,3.36360246
1529121420,6412.8,6416,6414.96,6416,0.98627424
1529121480,6415.99,6416,6415.99,6415.99,2.39326412
1529121540,6412.56,6418.22,6415.99,6418.21,2.31087637
1529121600,6412.55,6412.56,6412.56,6412.56,1.92903195
1529121660,6412.55,6419.84,6412.55,6419.84,11.54219619
1529121720,6416.62,6431.43,6416.62,6427.1,4.23330897
1529121780,6426.02,6431.2,6427.1,6426.03,2.94651835
1529121840,6423.66,6426.03,6426.02,6426.03,1.23761156
1529121900,6424.48,6427.86,6427.8,6426.63,3.710839
1529121960,6423.73,6427.83,6426.6,6426.61,2.04412659
1529122020,6426.6,6427.84,6426.6,6427.83,0.78527713
1529122080,6423.47,6427.84,6427.83,6423.47,2.61712556
1529122140,6426.62,6427.84,6426.62,6427.83,0.5334184
1529122200,6427.83,6427.84,6427.83,6427.83,1.08436874
